comment,toxicity_level,insult,profanity,threat,identity_hate
Based take on Netflix shows. aprub talaga! That's the tweet. #PassingTheVibe,0,0,0,0,0
Grabe siya oh! Hahaha,0,0,0,0,0
Srsly Stan viral challenges. Ang swabe! #NoFilter,0,0,0,0,0
Srsly Literally can't even with how good relationship drama. Ang petmalu! #StudentLife,0,0,0,0,0
Understood the assignment with Netflix shows. nindot talaga! Living for this!,0,0,0,0,0
omg ang lit ng relationship drama! no cap! #ootd,0,0,0,0,0
"Sa tingin ko, fresh ang online classes! Stan kaibigan.",0,0,0,0,0
guys!! literally can't even with how good valorant! charaught!,0,0,0,0,0
Literally can't even with how good anime. satisfying and saktong-sakto! #TwentyTwentyFive,0,0,0,0,0
Shining ka talaga today! Love it,0,0,0,0,0
"Sa tingin ko, goals ang graduation! Understood the assignment with mga katropa.",0,0,0,0,0
Nakakaaliw yung Netflix shows. clean talaga! Awit!,0,0,0,0,0
lmao why is weekend parties so satisfying? napakahusay!,0,0,0,0,0
I'm shook at how good graduation. Sobrang witty! Awit!,0,0,0,0,0
Ang galing mo talaga! Proud ako sayo,0,0,0,0,0
Omg Awit sa galing ng relationship drama! Rent free in my mind! #CollegeDays,0,0,0,0,0
"Sa tingin ko, based ang exams! This is giving stans.",0,0,0,0,0
Srsly Understood THE assignment with ONLINE classes. Ang swabe! #NoFilter,0,0,0,0,0
Lmao why is BTS so sick? Awit! #MidtermSeason,0,0,0,0,0
i think basketball is so undefeated! apaka galing ng orgmates.,0,0,0,0,0
I think PUBG is so valid! Angat SA mga katropa. #UniversityLife,0,0,0,0,0
G na G ako sa dorm life. woah and based!! #GoalAF,0,0,0,0,0
Guys!! This is such a mood Genshin Impact! Labyu!,0,0,0,0,0
guys!! this is such a mood genshin impact! g na g!,0,0,0,0,0
"Srsly NGL, I'm obsessed with Twitter dramas. Ang witty!! #MidtermSeason",0,0,0,0,0
Omg Petmalu yung volleyball! Fr fr! #StudentLife,0,0,0,0,0
Bet ko yung Blackpink. Very lit! Fr fr!,0,0,0,0,0
Yooo Bet ko yung SB19. bussin af! G na G!,0,0,0,0,0
Literally can't even with how good PUBG. solid talaga! That's the tweet.,0,0,0,0,0
This is such a mood PUBG. legit talaga! Serving looks!,0,0,0,0,0
Guys!! I'm shook at how good SB19! Charot lang!,0,0,0,0,0
Yooo Pak na pak ang anime. goals af! Naol! #CollegeDays,0,0,0,0,0
Guys!! Literally can't even with how good viral challenges! Yorme!,0,0,0,0,0
I think exams is so VIBE! May dating yung CLASSMATES.,0,0,0,0,0
Slay naman ang Mobile Legends. solid and peak! #NoFilter,0,0,0,0,0
AWIT sa galing ng memes. astig and UNDEFEATED!! #BestLife,0,0,0,0,0
Ang lit NG SB19. Very iconic! Living FOR this! #MidtermSeason,0,0,0,0,0
this is such a mood weekend parties. lodi talaga! that's the tweet.,0,0,0,0,0
This IS such a mood anime. lit and ASTIG! #ClassOf2025,0,0,0,0,0
LOW-KEY love TIKTOK #UniversityLife #UniversityLife,0,0,0,0,0
PUBG that's it that's the POST,0,0,0,0,0
I'm shook at how good COFFEE SHOPS. Sobrang lit! Charaught! #Finals,0,0,0,0,0
"yooo naur, ang ganda ng scholarships. peak af! sana all! #TrendingNow",0,0,0,0,0
Angat sa anime. WITTY and LEGIT! #UniversityLife,0,0,0,0,0
I'm shook at how good fashion trends. witty talaga! Period! #CollegeDays,0,0,0,0,0
Super proud ako sa growth mo! Sana all,0,0,0,0,0
