type,language,text,frequency
word,en,talaga,2128
word,en,yung,1295
word,en,thats,1056
word,en,bruh,754
word,en,sobrang,719
word,en,solid,701
word,en,ang,696
word,en,lmao,692
word,en,guys,671
word,en,srsly,666
word,en,good,607
word,en,galing,558
word,en,energy,557
word,en,astig,534
word,en,petmalu,518
word,en,fire,500
word,en,sana,471
word,en,based,464
word,en,apaka,461
word,en,main,437
word,en,character,436
word,en,lit,422
word,en,legit,408
word,en,omg,406
word,en,living,398
word,en,cap,396
word,en,sembreak,387
word,en,understood,382
word,en,assignment,382
word,en,pinoypride,360
word,en,nofilter,349
word,en,weekendvibes,347
word,en,midtermseason,346
word,en,universitylife,344
word,en,trendingnow,344
word,en,collegedays,344
word,en,goalaf,343
word,en,passingthevibe,342
word,en,facts,336
word,en,think,334
word,en,cant,333
word,en,even,332
word,en,studentlife,331
word,en,finals,328
word,en,bestlife,327
word,en,literally,324
word,en,classof2025,323
word,en,giving,318
word,en,love,317
word,en,lowkey,314
word,en,ngl,313
word,en,obsessed,313
word,en,post,307
word,en,vibing,306
word,en,may,304
word,en,absolutely,304
word,en,ootd,303
word,en,twentytwentyfive,303
word,en,different,300
word,en,yooo,299
word,en,hits,298
word,en,take,296
word,en,appreciate,293
word,en,dating,280
word,en,kasing,279
word,en,husay,279
word,en,shook,277
word,en,swabe,276
word,en,mood,275
word,en,kayangkaya,272
word,en,kpop,270
word,en,slayed,268
word,en,lodi,267
word,en,twitter,263
word,en,stan,263
word,en,bts,262
word,en,dramas,261
word,en,online,259
word,en,dorm,256
word,en,life,256
word,en,scholarships,255
word,en,genshin,253
word,en,impact,253
word,en,streaming,251
word,en,classes,251
word,en,nakakaaliw,250
word,en,woah,250
word,en,grabe,249
word,en,angas,249
word,en,shops,248
word,en,sb19,247
word,en,coffee,247
word,en,nindot,247
word,en,anime,246
word,en,ppop,245
word,en,basketball,244
word,en,mobile,244
word,en,legends,244
word,en,saktongsakto,243
word,en,angat,242
word,en,pubg,240
word,en,professors,239
word,en,new,238
word,en,thesis,237
word,en,relationship,236
word,en,drama,236
word,en,music,235
word,en,aprub,234
word,en,valorant,232
word,en,tiktok,231
word,en,group,231
word,en,projects,231
word,en,witty,229
word,en,exams,227
word,en,weekend,226
word,en,parties,226
word,en,viral,225
word,en,challenges,225
word,en,campus,222
word,en,events,222
word,en,majors,222
word,en,memes,220
word,en,fashion,218
word,en,trends,218
word,en,blackpink,218
word,en,shows,217
word,en,netflix,216
word,en,volleyball,215
word,en,esports,214
word,en,awit,206
word,en,naol,206
word,en,labyu,204
word,en,napakahusay,204
word,en,internships,204
word,en,graduation,202
word,en,sheesh,199
word,en,clean,196
word,en,elite,192
word,en,wala,190
word,en,peak,189
word,en,akong,189
word,en,maisip,189
word,en,pak,185
word,en,fresh,185
word,en,yorme,180
word,en,bussin,180
word,en,yarn,178
word,en,charaught,177
word,en,valid,176
word,en,nice,175
word,en,satisfying,174
word,en,ganern,173
word,en,vibe,173
word,en,undefeated,173
word,en,goals,173
word,en,sick,170
word,en,goated,170
word,en,yan,169
word,en,dope,161
word,en,iconic,161
word,en,deserve,136
word,en,keep,131
word,en,need,127
word,en,lang,127
word,en,charot,127
word,en,slaying,125
word,en,tweet,117
word,en,taking,106
word,en,criticism,106
word,en,saying,105
word,en,mind,97
word,en,serving,97
word,en,looks,97
word,en,free,95
word,en,period,94
word,en,rent,94
word,en,recommend,91
word,en,iykyk,86
word,en,move,78
word,en,section,27
word,en,fellow,22
word,en,dormmates,22
word,en,sophomores,21
word,en,orgmates,21
word,en,followers,20
word,en,pala,19
word,en,batchmates,19
word,en,stans,19
word,en,dont,18
word,en,tropa,18
word,en,fuck,17
word,en,people,17
word,en,tanga,17
word,en,nga,17
word,en,groupmates,17
word,en,classmates,17
word,en,like,16
word,en,today,16
word,en,article,15
word,en,squad,15
word,en,fandom,15
word,en,much,14
word,en,kaya,14
word,en,kayo,14
word,en,blockmates,14
word,en,barkada,14
word,en,sexual,13
word,en,time,13
word,en,gay,13
word,en,pero,13
word,en,walang,13
word,en,beh,13
word,en,nakakaproud,13
word,en,list,12
word,en,yes,12
word,en,used,12
word,en,true,12
word,en,mga,12
word,en,char,12
word,en,omgggg,12
word,en,freshies,12
word,en,first,11
word,en,jewish,11
word,en,mag,11
word,en,ngayon,11
word,en,diba,11
word,en,hahahahaha,11
word,en,relate,11
word,en,kabatch,11
word,en,mutuals,11
word,en,get,10
word,en,jews,10
word,en,mong,10
word,en,nung,10
word,en,din,10
word,en,dami,10
word,en,year,10
word,en,team,10
word,en,also,9
word,en,way,9
word,en,one,9
word,en,ako,9
word,en,maganda,9
word,en,naman,9
word,en,kasi,9
word,en,achievements,9
word,en,would,8
word,en,make,8
word,en,terms,8
word,en,intercourse,8
word,en,criteria,8
word,en,tong,8
word,en,pag,8
word,en,bobo,8
word,en,bagong,8
word,en,mukhang,8
word,en,mahal,8
word,en,minsan,8
word,en,tangina,8
word,en,pre,8
word,en,hirap,8
word,en,exam,8
word,en,natin,8
word,en,putragis,8
word,en,feels,8
word,en,heyyy,8
word,en,sino,8
word,en,bored,8
word,en,admins,7
word,en,wikipedia,7
word,en,slang,7
word,en,mean,7
word,en,words,7
word,en,really,7
word,en,boy,7
word,en,white,7
word,en,page,7
word,en,wag,7
word,en,business,7
word,en,nako,7
word,en,leche,7
word,en,internet,7
word,en,connection,7
word,en,hiii,7
word,en,magcomment,7
word,en,dito,7
word,en,ganyan,7
word,en,nakakamiss,7
word,en,f2f,7
word,en,class,7
