comment,toxicity_level,insult,profanity,threat,identity_hate
"NGL, I'm obsessed with campus events. saktong-sakto talaga! Main character energy!",0,0,0,0,0
"ngl, i'm obsessed with memes #passingthevibe #passingthevibe",0,0,0,0,0
"Sa tingin ko, peak ang anime! I'm vibing with blockmates. #BestLife",0,0,0,0,0
Twitter dramas that's it that's the post #MidtermSeason,0,0,0,0,0
G na G ako sa dorm life. Very lit!!!! Understood the assignment! #OOTD,0,0,0,0,0
I'm vibing with majors #WeekendVibes #WeekendVibes,0,0,0,0,0
Srsly Based take on BTS. Ang petmalu! #PassingTheVibe,0,0,0,0,0
I'm vibing with coffee shops #UniversityLife #UniversityLife,0,0,0,0,0
Yooo Pak na pak ang esports. CLEAN AF! Labyu!,0,0,0,0,0
understood the assignment with tiktok astig talaga serving looks,0,0,0,0,0
Pak na pak ang majors. fresh talaga! Awit!,0,0,0,0,0
Yooo G na G ako sa thesis. legit af! Sana all! #PinoyPride,0,0,0,0,0
Omg May dating yung P-pop! That's the tweet. #MidtermSeason,0,0,0,0,0
I'm shook at how good scholarships #Finals #Finals,0,0,0,0,0
This is giving exams. lit and saktong-sakto! #SemBreak,0,0,0,0,0
"Sa tingin ko, fire ang thesis!!! It hits different when mutuals. #SemBreak",0,0,0,0,0
bruh based take on sb19. petmalu talaga!,0,0,0,0,0
IT hits different when Blackpink. iconic and LIT! #UniversityLife,0,0,0,0,0
Omg Apaka galing ng streaming! Fr fr! #BestLife,0,0,0,0,0
UNDERSTOOD the assignment with anime. Sobrang SWABE! Sheesh!,0,0,0,0,0
Awit sa galing ng group projects. Very fire! This is the energy we need!,0,0,0,0,0
Omg Petmalu yung thesis! Main character energy! #TrendingNow,0,0,0,0,0
"Sa TINGIN ko, fresh ang BTS! I'M vibing with classmates.",0,0,0,0,0
Facts about Genshin Impact. Sobrang saktong-sakto! Deserve mo 'yan!,0,0,0,0,0
nakakaaliw yung p-pop. nindot and bussin! #studentlife,0,0,0,0,0
"Sa tingin ko, fire ang internships! Facts about mga katropa.",0,0,0,0,0
Understood the ASSIGNMENT with K-pop. Sobrang saktong-sakto!! Deserve mo 'YAN!,0,0,0,0,0
Guys!! Absolutely living for esports! Yorme!,0,0,0,0,0
LOW-KEY love P-pop. satisfying and SOLID!!!! #ClassOf2025,0,0,0,0,0
Based take on internships #SemBreak #SemBreak,0,0,0,0,0
low-key love professors #pinoypride #pinoypride,0,0,0,0,0
Stan exams. peak and astig!!! #PinoyPride,0,0,0,0,0
G na G ako sa campus events. peak talaga! Apaka nice! #WeekendVibes,0,0,0,0,0
Bruh Literally can't even with how good exams. petmalu talaga!,0,0,0,0,0
awit sa galing ng group projects solid and dope #universitylife,0,0,0,0,0
"Naur, ang ganda ng memes. Very satisfying! We move!",0,0,0,0,0
Lmao why is coffee shops so fire? Wala akong maisip!,0,0,0,0,0
"Sa tingin ko, goated ang dorm life! This is such a mood freshies.",0,0,0,0,0
